index,Year_UTC,Month_UTC,Day_UTC,hour,minute,second,Station_ID,bottle,Niskin_ID,Latitude,Longitude,Depth,CTDPRES,CTDSAL_PSS78,CTDTEMP_ITS90,oxygen,phosphate,nitrite,silicate,nitrate,density,TA,DIC,TA_ONLY,DIC_ONLY,Cast_number,Time_UTC,TA_flag,DIC_flag,TA_ONLY_flag,DIC_ONLY_flag
110,2022.0,3.0,2.0,19,22,33,12,40324,15.0,-32.49802,-87.99976,202.5,204.1,34.1687,12.0238,226.03,0.8570271292695507,,0.5765632910707353,11.077832995894672,1.0233048290402105,2267.6829204814403,2103.213214846156,,,4,19:22:33,2,2,2,2
119,2022.0,3.0,2.0,19,32,26,12,40333,24.0,-32.49802,-87.99978,8.5,8.6,34.8133,20.9382,229.75,0.1982821551796872,,0.153351223464093,0.0136746313917025,1.0237935926005917,2310.612998630942,2056.2802443380747,,,4,19:32:26,2,2,2,2
125,2022.0,3.0,3.0,10,31,19,13,40339,6.0,-32.49998,-90.99824,2596.0,2630.7,34.6837,1.7914,164.74,2.4440866098139287,,118.14941301773976,33.95150847749517,1.0236953101226147,2412.048716389364,2298.310410757726,,,2,10:31:19,2,2,2,2
130,2022.0,3.0,3.0,10,57,43,13,40344,11.0,-32.49998,-90.99832,1299.4,1312.7,34.5327,3.2153,119.31,2.7540571083500884,,84.40857754676811,38.19043860323282,1.0235808079117203,2378.5212880789204,2291.538239459884,,,2,10:57:43,2,2,2,2
135,2022.0,3.0,3.0,11,18,01,13,40349,16.0,-32.50006,-90.99838,401.7,404.9,34.293,6.7293,187.31,1.9816316717450988,,10.547205258785304,27.682260976596964,1.023399064980662,2271.0070080105065,2190.2625787720644,,,2,11:18:01,2,2,2,2
137,2022.0,3.0,3.0,11,22,46,13,40351,18.0,-32.50004,-90.99838,202.6,204.2,34.1866,11.7396,226.85,0.9742813192446652,0.003908851832476,0.6322567839030074,12.45555636418506,1.0233183992206152,2258.1905628898216,2093.926117615445,,,2,11:22:46,2,2,2,2
143,2022.0,3.0,3.0,11,31,18,13,40357,24.0,-32.50004,-90.99836,8.1,8.2,34.8155,21.4462,229.01,0.2158634723274526,,,0.1054898416803841,1.023795261037752,2315.095816422038,2040.132088022856,,,2,11:31:18,2,2,2,2
158,2022.0,3.0,4.0,05,36,24,14,40372,15.0,-32.4998,-94.00096,352.5,355.3,34.2815,8.0541,188.42,1.7911054240914872,,7.493719311160729,24.081720227351177,1.0233903461767266,,,2276.670375129449,2169.8465383183616,2,05:36:24,2,2,2,2
163,2022.0,3.0,4.0,05,45,23,14,40377,20.0,-32.49974,-94.00102,63.9,64.4,34.7121,17.607,263.8,0.1807140329795822,,,0.0576331240313262,1.023716846720487,,,2162.8825821924024,2055.7442292190854,2,05:45:23,2,2,2,2
166,2022.0,3.0,4.0,05,49,09,14,40380,23.0,-32.49966,-94.00098,8.9,9.0,35.1948,22.2525,223.77,0.1757670125819625,,,0.0488241701616562,1.0240829456896159,2316.964039886313,2066.824721964544,,,2,05:49:09,2,2,2,2
