Label ID,Bottle_Number,Longitude_deg_E,Latitude_deg_N,Depth_m,Turbidity_FTU,Oxygen_umolperkg,Salinity_PSU,Temperature_oC,Fluorescence_mgperm3,Pressure_dbar
40001.0,1,-71.7290055034284,-33.6075221344634,99,0.906208288461538,6.62184615384616,34.5756153846154,11.4821769230769,0.0588,99.732
40002.0,2,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40003.0,3,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40004.0,4,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40005.0,5,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40006.0,6,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40007.0,7,-71.7290055034284,-33.6075221344634,99,0.906208288461538,6.62184615384616,34.5756153846154,11.4821769230769,0.0588,99.732
40008.0,8,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40009.0,9,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40010.0,10,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40011.0,11,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40012.0,12,-71.7290055034284,-33.6075221344634,98,0.868578522727276,6.75627272727273,34.5753545454545,11.4848,0.0662,98.7247272727273
40013.0,13,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40014.0,14,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40015.0,15,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40016.0,16,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40017.0,17,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40018.0,18,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40019.0,19,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40020.0,20,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40021.0,21,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40022.0,22,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40023.0,23,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40024.0,24,-71.7290055034284,-33.6075221344634,6,0.1312288125,185.835625,34.30955,14.29268125,0.97228125,6.043
40025.0,1,-71.8252687732148,-33.0902166232381,155,0.0867405526315791,4.91973684210525,34.6499894736842,11.1206947368421,0.0372842105263175,156.161
40026.0,2,-71.8252687732148,-33.0902166232381,155,0.0867405526315791,4.91973684210525,34.6499894736842,11.1206947368421,0.0372842105263175,156.161
40027.0,3,-71.8252687732148,-33.0902166232381,156,0.08351025,4.988,34.6502,11.1202,0.0515,157.169
40028.0,4,-71.8252687732148,-33.0902166232381,125,0.0895985,5.45771111111111,34.6436177777778,11.1681,0.0295,125.927
40029.0,5,-71.8252687732148,-33.0902166232381,100,0.0398366184210527,4.40342105263158,34.6569578947368,11.4620052631579,0.0149,100.735578947368
40030.0,6,-71.8252687732148,-33.0902166232381,71,0.05239375,32.32,34.5116,11.4328,0.06985,71.517
40031.0,7,-71.8252687732148,-33.0902166232381,61,0.0482552500000001,61.4135,34.4225,11.3654,0.07715,61.443
40032.0,8,-71.8252687732148,-33.0902166232381,51,0.0558174602272727,59.9246136363636,34.4662090909091,11.6921113636364,0.0955,51.369
40033.0,9,-71.8252687732148,-33.0902166232381,26,0.07523648,144.563,34.228224,12.14276,1.1211,26.18676
40034.0,10,-71.8252687732148,-33.0902166232381,16,0.0784391363636366,153.912931818182,34.1832409090909,12.2172,0.772593181818182,16.1142045454545
40035.0,11,-71.8252687732148,-33.0902166232381,6,0.34366375,262.8205,34.234675,14.721125,8.251125,6.043
40036.0,12,-71.8252687732148,-33.0902166232381,6,0.34366375,262.8205,34.234675,14.721125,8.251125,6.043
40037.0,13,-71.8252687732148,-33.0902166232381,6,0.34366375,262.8205,34.234675,14.721125,8.251125,6.043
40038.0,14,-71.8252687732148,-33.0902166232381,6,0.34366375,262.8205,34.234675,14.721125,8.251125,6.043
40039.0,1,-71.8638945573275,-32.967338798508,822,0.0504410769230769,113.055384615385,34.3691923076923,4.93984615384616,0.0306384615384416,829.49
40040.0,2,-71.8638945573275,-32.967338798508,822,0.0504410769230769,113.055384615385,34.3691923076923,4.93984615384616,0.0306384615384416,829.49
40041.0,3,-71.8638945573275,-32.967338798508,822,0.0504410769230769,113.055384615385,34.3691923076923,4.93984615384616,0.0306384615384416,829.49
