year,month,day,hour,minute,second,station,bottle,niskin,latitude,longitude,depth,pressure,salinity,temperature,oxygen,phosphate,nitrite,silicate,nitrate,density,alkalinity,dic_corrected,TA_only,DIC_only
2022.0,2.0,23.0,17.0,23.0,8.0,SO289_1-2,40023,23.0,-33.60752,-71.729,6.7,6.7,34.349,14.2886,210.75,1.4236279922967832,0.4054945894325085,3.426673554553753,12.354394189842502,1.0234415225633329,,,,
2022.0,2.0,23.0,17.0,23.0,9.0,SO289_1-2,40024,24.0,-33.60751,-71.729,6.7,6.8,34.3511,14.3105,211.85,1.4158090265291698,0.4064710524749031,3.4491413827798265,12.297703525118102,1.023443114748461,,,,
2022.0,2.0,28.0,18.0,33.0,59.0,SO289_10-2,40238,1.0,-32.49818,-81.9992,3929.8,3994.7,34.7018,1.6572,166.58,2.387397116131858,,124.05868811323484,34.68954434863934,1.023709035872445,,,,
2022.0,2.0,28.0,18.0,34.0,1.0,SO289_10-2,40239,2.0,-32.49818,-81.9992,3929.5,3994.5,34.7018,1.6571,166.38,2.398142356834579,,123.78614973541129,34.85756083962734,1.023709035872445,,,,
2022.0,2.0,28.0,18.0,34.0,2.0,SO289_10-2,40240,3.0,-32.49818,-81.9992,3929.7,3994.7,34.7019,1.657,166.8,2.3776285393655128,,122.9450813330088,34.78136473814644,1.0237091117057042,2407.933108050082,2310.83989140836,,
2022.0,2.0,28.0,18.0,56.0,17.0,SO289_10-2,40241,4.0,-32.49814,-81.99924,2745.6,2783.3,34.6797,1.8286,153.58,2.444093851871427,,122.3688044109632,35.57319013179452,1.0236922768265362,,,,
2022.0,2.0,28.0,18.0,56.0,18.0,SO289_10-2,40242,5.0,-32.49814,-81.99924,2745.4,2783.1,34.6796,1.8287,153.29,2.45190888194934,,122.55246242782326,35.66013296237476,1.023692200994221,,,,
2022.0,2.0,28.0,18.0,56.0,20.0,SO289_10-2,40243,6.0,-32.49814,-81.99924,2745.0,2782.7,34.6796,1.8286,153.28,2.4704691483864063,,123.16885864475952,35.57026219857423,1.023692200994221,2397.693998171884,2315.378793720604,,
2022.0,2.0,28.0,19.0,24.0,17.0,SO289_10-2,40244,7.0,-32.49814,-81.99926,1199.0,1210.9,34.511,3.3223,115.72,2.697436648584723,,78.16997505489346,39.41716009554481,1.0235643537536376,,,,
2022.0,2.0,28.0,19.0,24.0,19.0,SO289_10-2,40245,8.0,-32.49814,-81.99926,1199.7,1211.6,34.5111,3.3215,115.79,2.7140450759344725,,78.31358504025609,38.82120055339532,1.023564429578793,,,,
2022.0,2.0,28.0,19.0,24.0,21.0,SO289_10-2,40246,9.0,-32.49814,-81.99926,1199.7,1211.7,34.5115,3.3203,115.65,2.7326068495263387,,77.39031783281351,39.33507936204127,1.0235647328794566,2348.598295638278,2280.159322790791,,
2022.0,2.0,28.0,19.0,35.0,37.0,SO289_10-2,40247,10.0,-32.49822,-81.9992,601.6,606.7,34.2507,5.4617,225.68,1.870296783988022,,13.083282988931884,28.187346411138183,1.0233669952202933,,,,
2022.0,2.0,28.0,19.0,35.0,39.0,SO289_10-2,40248,11.0,-32.49821,-81.9992,601.1,606.2,34.2504,5.4646,225.78,1.873228699972872,,12.910327378216788,27.91667748019039,1.023366767777881,,,,
2022.0,2.0,28.0,19.0,35.0,41.0,SO289_10-2,40249,12.0,-32.4982,-81.9992,601.4,606.5,34.2494,5.4712,226.57,1.8839789301623344,,12.873204577779353,27.84145626461889,1.0233660096367811,2275.4213183220213,2176.685283535611,,
2022.0,2.0,28.0,19.0,42.0,50.0,SO289_10-2,40250,13.0,-32.49826,-81.9991,252.7,254.7,34.4534,9.7725,57.44,2.5255962606442903,0.0029310594901094,18.12664890666674,29.049730606474544,1.023520679168473,,,,
2022.0,2.0,28.0,19.0,42.0,52.0,SO289_10-2,40251,14.0,-32.49826,-81.9991,253.2,255.2,34.4463,9.7848,58.5,2.547104093884079,0.002931074906656,17.903982554823838,28.70303953591349,1.0235152957665683,,,,
2022.0,2.0,28.0,19.0,42.0,53.0,SO289_10-2,40252,15.0,-32.49826,-81.9991,253.0,255.0,34.4465,9.7893,57.85,2.525609170372359,0.0039080992965142,17.80432337009497,28.86619842887866,1.0235154474114,2271.378435751661,2254.362370376666,,
2022.0,2.0,28.0,19.0,44.0,23.0,SO289_10-2,40253,16.0,-32.49824,-81.99908,202.7,204.2,34.1798,10.2511,150.63,1.9065520859223168,0.0039088715241872,7.4766940078891055,24.114805650592007,1.023313244052381,2258.3955832419174,2188.4119776080265,,
2022.0,2.0,28.0,19.0,46.0,47.0,SO289_10-2,40254,17.0,-32.4982,-81.99908,103.9,104.6,34.1099,13.2901,247.25,0.6811561358891864,0.7055878480803337,0.1309539773445494,6.9913787606187086,1.0232602530844574,,,,
2022.0,2.0,28.0,19.0,46.0,49.0,SO289_10-2,40255,18.0,-32.4982,-81.99908,103.9,104.7,34.1106,13.3009,247.66,0.6792012466835714,0.6811557826452508,0.1162948897199208,6.987466063003649,1.023260783742037,,,,
2022.0,2.0,28.0,19.0,46.0,50.0,SO289_10-2,40256,19.0,-32.4982,-81.99908,103.9,104.7,34.1222,13.3596,247.3,0.6772408905924213,0.6635592564390391,0.1016349965679824,6.9981558694550206,1.0232695775262377,2261.910240762179,2073.8083093163973,,
2022.0,2.0,28.0,19.0,48.0,42.0,SO289_10-2,40257,20.0,-32.4982,-81.99909,62.8,63.3,34.2408,14.3868,251.53,0.4534086063567866,0.3302847175616247,,2.7868994511412826,1.0233594896407394,,,,
2022.0,2.0,28.0,19.0,50.0,3.0,SO289_10-2,40258,21.0,-32.49818,-81.99908,33.8,34.0,34.4295,19.4404,242.88,0.2765015073794185,,,0.0283340767279262,1.0235025576611565,,,,
2022.0,2.0,28.0,19.0,51.0,2.0,SO289_10-2,40259,22.0,-32.49815,-81.99912,18.4,18.5,34.4449,19.9035,234.73,0.2813834828688354,,,,1.0235142342532193,,,,
2022.0,2.0,28.0,19.0,53.0,17.0,SO289_10-2,40260,23.0,-32.49818,-81.99916,6.9,7.0,34.4461,19.9156,235.57,0.2833372829562184,,,,1.0235151441217534,2283.316419951256,2040.573374587848,,
