date_time,lat,lon,SBE45_sal,SBE38_water_temp,alkalinity,DIC,pH_total_est_TA_DIC,subsample_index,pH_RMSE
2022-02-28 16:20:00,32° 29.726' S,081° 59.037' W,34.4225,19.8903,2283.21173448784,2043.2040886725345,8.024967607812444,0,0.004165097735803697
2022-03-01 00:58:00,32° 30.007' S,082° 24.282' W,34.42,19.8476,2279.9890438620987,2039.595741290272,8.02685208716585,1,0.004142624831964835
2022-03-01 17:20:00,32° 30.010' S,085° 00.032' W,34.7411,20.6933,2297.466027521516,2055.115026747781,8.011385879581393,2,0.004114034627545389
2022-03-02 01:10:00,32° 29.998' S,086° 31.771' W,34.7355,20.8006,2298.9109574885474,,,3,
2022-03-02 02:09:00,32° 30.002' S,086° 46.065' W,34.8076,20.9545,2295.9646071488587,2052.866146102201,8.008280455300403,4,0.00398745268564449
2022-03-02 12:00:00,32° 29.878' S,087° 59.975' W,34.8146,20.883,2297.256594890204,2059.394448164203,7.998970814435774,5,0.004016043197011817
2022-03-03 02:54:00,32° 30.006' S,089° 42.417' W,34.8402,21.2435,2305.133677181704,2066.870028505648,7.992944660099574,6,0.004284256691490104
2022-03-03 13:00:00,32° 29.991' S,090° 59.924' W,34.8017,21.4367,2297.0708167816383,2052.972760496741,8.00288820522695,7,0.003985664063285342
2022-03-04 02:16:00,32° 29.966' S,094° 00.201' W,35.1942,22.2549,2298.0184629953096,2059.7882951731217,7.974488206488431,8,0.0041540603423927324
2022-03-04 07:00:00,32° 29.988' S,094° 00.059' W,35.1987,22.2248,2311.111736558198,2068.757753342857,7.981001004497402,9,0.003922975650234732
2022-03-04 15:35:00,32° 30.010' S,095° 30.112' W,35.1268,22.2109,2024.527690766284,2067.99030823178,7.206922790628357,10,0.006768501340418412
2022-03-05 17:05:00,32° 30.010' S,100° 00.019' W,35.2755,22.6458,2315.5537211399346,2070.688326022905,7.978015183826322,11,0.00409342161779132
2022-03-06 05:52:00,32° 28.947' S,100° 02.985' W,35.1835,22.5826,2320.268447568053,2070.147143199937,7.989327419564936,12,0.004063678578858249
2022-03-09 21:20:00,31° 25.817' S,111° 59.388' W,35.5475,24.8011,2318.026071494467,2066.367386298013,7.95570155435486,13,0.003936592100776881
2022-03-17 19:30:00,31° 25.802' S,137° 59.996' W,35.3377,23.4626,2305.455814513773,2046.007587127688,7.993896743914953,14,0.00399869191366847
2022-03-18 07:45:00,31° 26.030' S,138° 00.606' W,35.3194,23.3996,2309.590288121295,2045.7427761805525,8.002498728894864,15,0.003995808768930193
2022-03-18 23:00:00,31° 25.780' S,140° 59.978' W,35.1961,23.0087,2310.826050383143,2043.0034633132923,8.01680714824297,16,0.00396432660172735
2022-03-23 23:50:00,26° 10.190' S,152° 00.001' W,35.1787,26.8346,2301.071169382168,1994.9276392010472,8.029346952192821,17,0.003500487604498205
2022-03-24 00:00:00,26° 10.189' S,151° 59.997' W,35.1804,26.8402,2295.0956278032754,2000.584199991473,8.010538309519964,18,0.003705922183939217
2022-03-25 05:25:00,26° 10.097' S,155° 59.938' W,34.8585,26.1489,2281.21494417234,2027.5115634125373,7.953797769738076,19,0.0039125148309861945
2022-03-25 20:30:00,26° 10.137' S,158° 38.138' W,35.0876,26.2897,2290.079845382449,1994.0871537373127,8.022889731708265,20,0.0036417699673013566
2022-03-26 07:08:00,26° 10.199' S,159° 59.996' W,34.946,26.8304,2282.5663323356875,,,21,
2022-03-26 23:01:00,26° 10.204' S,163° 13.947' W,35.0254,25.8418,2289.483438279237,1999.4488955724653,8.01998534631644,22,0.003667990638969418
2022-03-28 12:00:00,26° 10.200' S,168° 00.034' W,34.8246,26.2313,2277.4559641342985,1980.2285339922832,8.031098488109768,23,0.0035436296310946747
2022-03-28 21:45:00,26° 10.205' S,169° 10.900' W,34.9869,25.978,2283.7340158246384,1992.5777003635192,8.021321008722627,24,0.003613128116715517
2022-03-29 13:20:00,26° 10.223' S,171° 59.998' W,35.0704,26.0051,2292.427082871201,1986.7943032292008,8.043145244069436,25,0.003612291959694065
2022-03-29 18:30:00,26° 10.192' S,172° 07.432' W,35.0955,25.9792,2302.528023286622,1965.973366055537,8.092017045228632,26,0.003332419583372836
2022-03-30 05:40:00,26° 10.042' S,174° 42.739' W,34.9385,26.314,2296.0765811493643,1994.991604610332,8.032119754163197,27,0.003615393980897281
2022-03-31 21:30:00,25° 43.087' S,178° 42.893' W,35.4872,25.6764,2316.3526285735184,2023.246299336936,8.01782642463298,28,0.003558165236565413
2022-04-01 13:30:00,25° 43.093' S,178° 59.985' E,35.0234,26.041,2289.420763056799,,,29,
2022-04-01 23:00:00,25° 43.110' S,179° 00.006' E,35.0483,26.2733,2291.187933708577,,,30,
2022-04-02 20:50:00,25° 43.101' S,175° 30.001' E,35.1948,25.7628,1934.06784948769,,,31,
