bottle,salinity,total_phosphate,total_silicate,alkalinity
AE-EXP6-I1,35.4193,0.06740519375316761,0.17877029647579235,2324.928203402649
AE-HL-E2-I1,34.4279,0.2684621723740074,,2290.8062105424897
AE-EXP6-I2,35.4193,0.06740519375316761,0.17877029647579235,2324.4309275879123
AE-HL-E2-I2,34.4279,0.2684621723740074,,2291.359420681976
AE-EXP2-NaOH1,34.4279,0.2684621723740074,,2768.735540249301
AE-HL-E2-C1,34.4279,0.2684621723740074,,2286.9785592551693
AE-EXP6-I3,35.4193,0.06740519375316761,0.17877029647579235,2325.34742731125
AE-EXP2-NaOH2,34.4279,0.2684621723740074,,2768.420502555549
AE-HL-E2-I3,34.4279,0.2684621723740074,,2293.9460051819065
AE-EXP2-NaOH3,34.4279,0.2684621723740074,,2767.3119611228217
AE-EXP1-NaOH1,34.4421,0.46267926698950057,,2757.3075858621287
AE-HL-E1-C2,34.4421,0.46267926698950057,,2290.7857865146943
AE-HL-E1-C3,34.4421,0.46267926698950057,,2289.613926117414
AE-EXP1-NaOH3,34.4421,0.46267926698950057,,2767.127596968444
AE-HL-E2-C2,34.4279,0.2684621723740074,,2283.3996863026928
AE-HL-E1-I3,34.4421,0.46267926698950057,,2321.7968271423556
AE-HL-E2-C3,34.4279,0.2684621723740074,,2289.0027488739674
AE-HL-E1-C1,34.4421,0.46267926698950057,,2289.41235605853
AE-EXP11-NaOH3,35.0224,0.0019553550538998787,0.08505794484464473,2441.391311155611
AE-HL-E3-I2,35.0624,0.16890594572666254,0.0078106795711751454,2341.8624876736117
AE-EXP1-NaOH2,34.4421,0.46267926698950057,,2767.1094483681536
AE-EXP11-C3,35.0224,0.0019553550538998787,0.08505794484464473,2295.497694605386
AE-HL-E3-I1,35.0624,0.16890594572666254,0.0078106795711751454,2318.8474378916217
AE-EXP11-NaOH2,35.0224,0.0019553550538998787,0.08505794484464473,2127.202900461327
AE-EXP11-C1,35.0224,0.0019553550538998787,0.08505794484464473,2293.336036181243
AE-EXP11-NaOH1,35.0224,0.0019553550538998787,0.08505794484464473,2356.790102584423
AE-EXP4-C2,35.2633,0.1728287931654061,0.0039057354387662404,2304.0679008543366
AE-EXP4-NaOH3,35.2633,0.1728287931654061,0.0039057354387662404,2789.465908507894
AE-EXP4-NaOH2,35.2633,0.1728287931654061,0.0039057354387662404,2793.594123289999
AE-EXP4-C1,35.2633,0.1728287931654061,0.0039057354387662404,2302.8027153159073
AE-EXP4-C3,35.2633,0.1728287931654061,0.0039057354387662404,2309.143986234261
AE-EXP4-NaOH1,35.2633,0.1728287931654061,0.0039057354387662404,2795.839786043305
AE-EXP11-C2,35.0224,0.0019553550538998787,0.08505794484464473,2295.6021387521373
AE-EXP9-C2,35.1856,0.01270867421021071,0.11535565821575876,2302.904725721372
AE-EXP9-NaOH2,35.1856,0.01270867421021071,0.11535565821575876,2518.5638046993604
AE-EXP9-NaOH1,35.1856,0.01270867421021071,0.11535565821575876,2644.173250047464
AE-EXP9-NaOH3,35.1856,0.01270867421021071,0.11535565821575876,2001.7254907006375
AE-EXP9-C3,35.1856,0.01270867421021071,0.11535565821575876,2299.1777539198015
AE-EXP7-NaOH2,35.4881,0.08496482465987118,0.178719113939729,2708.6246586815096
AE-EXP7-NaOH3,35.4881,0.08496482465987118,0.178719113939729,2557.0254055757464
AE-EXP7-C1,35.4881,0.08496482465987118,0.178719113939729,2326.3017792161386
AE-EXP7-NaOH1,35.4881,0.08496482465987118,0.178719113939729,2764.7265329696534
AE-EXP9-C1,35.1856,0.01270867421021071,0.11535565821575876,2296.0688028966747
AE-EXP7-C2,35.4881,0.08496482465987118,0.178719113939729,2325.6962589083673
AE-EXP6-C3,35.4193,0.06740519375316761,0.17877029647579235,2311.9845977823197
AE-EXP6-NaOH1,35.4193,0.06740519375316761,0.17877029647579235,2727.5695534500614
AE-EXP7-C3,35.4881,0.08496482465987118,0.178719113939729,2327.3540518323925
AE-HL-E4-I3,35.2633,0.1728287931654061,0.0039057354387662404,2317.1077590249884
AE-HL-E4-I1,35.2633,0.1728287931654061,0.0039057354387662404,2319.00966521791
AE-EXP6-C1,35.4193,0.06740519375316761,0.17877029647579235,2321.8274820978686
AE-EXP6-NaOH2,35.4193,0.06740519375316761,0.17877029647579235,2641.4065041486433
AE-EXP6-NaOH3,35.4193,0.06740519375316761,0.17877029647579235,2663.6535834816714
AE-EXP6-C2,35.4193,0.06740519375316761,0.17877029647579235,2305.5475506731564
AE-HL-E1-I2,34.4421,0.46267926698950057,,2290.830156734848
AE-HL-E1-I1,34.4421,0.46267926698950057,,2288.35029156324
AE-HL-E1-I3,34.4421,0.46267926698950057,,2321.7968271423556
AE-EXP5-NaOH1,35.5856,0.11525165240094148,0.5821185155166196,2710.008321097918
AE-EXP5-NaOH3,35.5856,0.11525165240094148,0.5821185155166196,2737.463988144623
AE-EXP5-NaOH2,35.5856,0.11525165240094148,0.5821185155166196,2663.778006726149
AE-EXP12-C3,34.9827,0.0009775555710258082,0.08015955682411628,2292.581567418126
AE-EXP12-NaOH2,34.9827,0.0009775555710258082,0.08015955682411628,1989.7560564565445
AE-EXP12-NaOH1,34.9827,0.0009775555710258082,0.08015955682411628,2083.4847367666425
AE-EXP12-NaOH3,34.9827,0.0009775555710258082,0.08015955682411628,2294.6441583085502
AE-EXP12-C1,34.9827,0.0009775555710258082,0.08015955682411628,2289.8326388894475
AE-EXP12-C2,34.9827,0.0009775555710258082,0.08015955682411628,2289.6071129561
AE-EXP9-I1,35.1856,0.01270867421021071,0.11535565821575876,2309.65488159364
