bottle,salinity,total_phosphate,total_silicate,total_ammonium,alkalinity,dic_corrected
SO289-40979,34.7132,2.327790214510143,119.9569005129142,0.0,2374.760130868438,2273.007496446357
SO289-40280,34.3332,2.18871930618837,12.469837404274989,0.0,2267.924924298244,2206.6320314862123
SO289-41076,34.7071,2.3698046909275163,121.68155850567514,0.0,2389.896700860472,2285.975523518541
SO289-40042,34.3891,2.430941129599436,23.342115589280755,0.0,2278.7535037853368,2228.382109491787
SO289-41079,34.6536,2.5095917281208058,120.98791541892489,0.0,2392.3271722197514,2317.8975452503273
SO289-40989,34.3194,2.814096448641257,15.912347453514888,0.0,2276.2061982067007,2169.144842838
SO289-41277,34.5695,2.428662408188671,89.49025043334947,0.0,2365.3006731784167,2265.9073178720423
SO289-40813,34.7032,2.403024065030852,121.33220166399067,0.0,2373.196017183249,2290.525894034336
SO289-40324,34.1687,0.8570271292695507,0.5765632910707353,0.0,2267.6829204814403,2103.213214846156
SO289-30359,35.0,0.0,0.0,0.0,2389.725077626756,2297.812716594707
SO289-40716,35.1545,0.1230405815770576,0.0,0.0,2307.0894031674547,2042.8261678397882
SO289-40992,34.705,1.1018729801095637,3.4599593045638963,0.0,2287.7066108038744,2133.0574107495295
SO289-40942,34.6598,2.53595570439015,124.97494494817003,0.0,2396.2134937975343,2312.0472667931554
SO289-40977,34.7216,2.21153346736312,119.21865065868673,0.0,2362.675364685728,2262.800139789245
SO289-40063,34.5335,2.753078514345884,23.912118423395967,0.0,2268.274048902507,2279.2895443523284
SO289-40351,34.1866,0.9742813192446652,0.6322567839030074,0.0,2258.1905628898216,2093.9261176154455
SO289-41139,35.6449,0.1444713720320802,0.3016327970129241,0.0,2326.6931750371145,2059.484314923961
SO289-41242,34.6929,2.452861571719524,124.60360951964446,0.0,2401.703090833585,2298.5559568515464
SO289-41250,34.6824,2.4851168357683187,119.09219100466149,0.0,2398.051725068098,2301.7796045452174
SO289-41066,34.6468,2.53598012598768,121.32457154359244,0.0,2394.81577192697,2326.9780016271507
SO289-40246,34.5115,2.7326068495263387,77.39031783281351,0.0,2348.598295638278,2280.159322790791
SO289-40357,34.8155,0.2158634723274526,0.0,0.0,2315.095816422038,2040.1320880228557
SO289-41020,35.5324,0.0478357237177522,0.2294162259933016,0.0,2324.1290018873137,2012.1392229165365
SO289-40106,34.0679,1.6389302496330775,4.679307117020379,0.0,2255.743873465895,2143.2877263751125
SO289-40085,34.5695,2.762774453080274,93.54941869804132,0.0,2364.143142998574,2293.113354525317
SO289-41194,34.6345,2.456875242914488,109.21616387985677,0.0,2378.087631872858,2301.555958096309
SO289-41191,35.1034,0.0224606388299406,0.0908191048341077,0.0,2303.6610405397014,1991.569843843673
SO289-40530,34.2928,1.7148738161712624,8.961314967582135,0.0,2288.150330011043,2310.9626678311342
SO289-40996,35.6099,0.099570688863021,0.2987120665890632,0.0,2325.225010286169,2062.2557904389505
SO289-40549,35.5309,0.1415548499004644,0.0,0.0,2346.870437153144,2141.8789661234614
SO289-41297,34.6018,2.4422810714032206,100.08467830610395,0.0,2373.1575807019967,2296.350984413696
SO289-40698,34.6581,2.52423643772992,116.14906664460128,0.0,2383.7895127199818,2316.1897839980234
SO289-40611,34.6727,0.5108983664490194,0.0,0.0,2285.651735522297,2091.7664808269287
SO289-40499,35.2133,0.1591646136763738,0.1113175825712062,0.0,2313.2002527594723,2061.081508015463
SO289-41014,34.3964,1.5105364397816103,6.681143709719697,0.0,2282.2582143578097,2151.9560844599746
SO289-41038,35.5121,0.3133775140529934,0.5574409985179415,0.0,2323.0308469626466,2094.3976033751487
SO289-40905,34.7161,2.3033644709867733,118.15927614058612,0.0,2373.603532065743,2274.8426719859067
SO289-40202,34.0239,1.0252199619027846,0.9216229018821028,0.0,2253.7982312857853,2098.344131187329
SO289-40130,34.638,2.669830071450221,114.90135858176914,0.0,2386.82877106878,2315.0447421451295
SO289-40920,34.4533,1.3209309080642622,3.77911298253888,0.0,2275.2265910154456,2141.222127702728
SO289-41212,35.6774,0.249890412120935,0.3435993166662855,0.0,2309.496729832209,2086.4450816974154
SO289-40139,34.1486,1.84991620780792,6.325677555805952,0.0,2257.754145162816,2177.394628696584
